3038836	Font del Vi	Font del Vi		42.51667	1.48333	H	SPNG	AD		00				0		2076	Europe/Andorra	1993-12-23
3038837	Font Verda	Font Verda		42.55	1.56667	H	SPNG	AD		00				0		2086	Europe/Andorra	1993-12-23
3038838	Costa Verda	Costa Verda		42.48368	1.66221	T	SLP	AD		03				0		2378	Europe/Andorra	2014-11-05
3038839	Costa Verda	Costa Verda		42.48333	1.56667	T	SLP	AD		00				0		1937	Europe/Andorra	1993-12-23
3038840	Serrat de Ventader	Serrat de Ventader		42.48333	1.43333	T	MT	AD		00				0		2100	Europe/Andorra	1993-12-23
3038841	Bony de Vellatocina	Bony de Vellatocina		42.61246	1.50594	T	PK	AD		05				0		2209	Europe/Andorra	2014-11-05
3038842	Pleta Vella	Pleta Vella		42.51667	1.61667	L	GRAZ	AD		00				0		2169	Europe/Andorra	1993-12-23
3038843	Solà Vell	Sola Vell		42.46667	1.48333	T	SLP	AD		00				0		1375	Europe/Andorra	1993-12-23
3038844	Port Vell	Port Vell		42.65315	1.55207	T	PASS	AD		00				0		2331	Europe/Andorra	2014-11-05
3038845	Port Negre del Pallars	Port Negre del Pallars	Port Negre del Pallars,Port Vell	42.56799	1.44412	T	PASS	AD	ES	00				0		2305	Europe/Andorra	2014-11-05
3038846	Bancal Vedeller	Bancal Vedeller		42.60103	1.45896	R	TRL	AD		04				0		2618	Europe/Andorra	2014-11-05
3038847	Vedat del Xeig	Vedat del Xeig		42.56386	1.48328	L	LCTY	AD		04				0		1653	Europe/Andorra	2014-11-05
3038848	Vedat dels Plans	Vedat dels Plans		42.53983	1.50408	L	AREA	AD		04				0		1396	Europe/Andorra	2014-11-05
3038849	Vedat de Coll de les Cases	Vedat de Coll de les Cases		42.57491	1.49849	L	LCTY	AD		04				0		1875	Europe/Andorra	2014-11-05
3038850	Serra del Vedat	Serra del Vedat		42.46667	1.48333	T	RDGE	AD		00				0		1375	Europe/Andorra	1993-12-23
3038851	Planades del Vedat	Planades del Vedat		42.53333	1.5	T	UPLD	AD		00				0		1558	Europe/Andorra	1993-12-23
3038852	Veda de Sorteny	Veda de Sorteny		42.62075	1.55042	L	LCTY	AD		05				0		2007	Europe/Andorra	2014-11-05
3038853	Veda del Castellar	Veda del Castellar		42.62578	1.50914	L	AREA	AD		05				0		1841	Europe/Andorra	2014-11-05
3038854	Canal de les Veces	Canal de les Veces		42.51667	1.51667	H	STM	AD		00				0		1607	Europe/Andorra	1993-12-23
3038855	Coma de Varilles	Coma de Varilles		42.63797	1.52599	T	VAL	AD		05				0		2460	Europe/Andorra	2014-11-05
3038856	Portella de les Vaques	Portella de les Vaques		42.56734	1.44421	T	PASS	AD		00				0		2305	Europe/Andorra	2014-11-05
3038857	Pas de les Vaques	Pas de les Vaques		42.58129	1.70146	T	PASS	AD		02				0		2584	Europe/Andorra	2014-12-03
3038858	Collada de les Vaques	Collada de les Vaques		42.56354	1.56884	T	PASS	AD		00				0		1851	Europe/Andorra	2014-12-03
3038859	Roc del Vaquer	Roc del Vaquer		42.63442	1.47968	T	CLF	AD		05				0		2291	Europe/Andorra	2014-11-05
3038860	Valls de la Coma	Valls de la Coma		42.60079	1.63691	L	LCTY	AD		02				0		2118	Europe/Andorra	2014-12-03
3038861	Vall d'Incles	Vall d'Incles		42.58386	1.66331	L	LCTY	AD		02				0		1764	Europe/Andorra	2010-01-11
3038862	Vall de Soldeu	Vall de Soldeu		42.55	1.68333	L	LCTY	AD		00				0		2193	Europe/Andorra	1993-12-23
3038863	Riu de la Vall del Riu	Riu de la Vall del Riu		42.57178	1.61415	H	STM	AD		02				0		1724	Europe/Andorra	2014-11-05
3038864	Estany Gran de la Vall del Riu	Estany Gran de la Vall del Riu		42.60065	1.59278	H	LK	AD		02				0		2537	Europe/Andorra	2014-11-05
3038865	Cascada de la Vall del Riu	Cascada de la Vall del Riu		42.57326	1.61423	H	FLLS	AD		02				0		1724	Europe/Andorra	2014-12-03
3038866	Canals de la Vall del Riu	Canals de la Vall del Riu		42.59059	1.60713	H	RVN	AD		02				0		1979	Europe/Andorra	2014-12-03
3038867	Camí de la Vall del Riu	Cami de la Vall del Riu		42.58421	1.61129	R	TRL	AD		02				0		2191	Europe/Andorra	2014-12-03
3038868	Bosc de la Vall del Riu	Bosc de la Vall del Riu		42.58333	1.61667	V	FRST	AD		02				0		2076	Europe/Andorra	2014-12-03
3038869	Vall del Riu	Vall del Riu		42.59499	1.60747	L	AREA	AD		02				0		2143	Europe/Andorra	2014-11-05
3038870	Coll de Vall Civera	Coll de Vall Civera	Coll de Valcibera,Coll de Vall Civera,Collado de Vall-Civera,Port de Vall Civera	42.48818	1.66373	T	PASS	AD	ES	00				0		2378	Europe/Andorra	2014-11-05
3038871	Obac de la Vall	Obac de la Vall		42.46667	1.5	T	SLP	AD		00				0		1035	Europe/Andorra	1993-12-23
3038872	Riu Valira d’Orient	Riu Valira d'Orient	Rio Balira del Orien,Riu Valira d'Orient,Riu Valira d’Orient,Río Balira del Orien	42.51123	1.53686	H	STM	AD		00				0		1139	Europe/Andorra	2014-11-05
3038873	Riu Valira del Nord	Riu Valira del Nord	Riu Valira d'Ordino,Riu Valira del Nord,Riu Valira del Nort,Riu Valira d’Ordino,Valira del Nord,Valira del Norte	42.34645	1.44271	H	STM	AD		00				0		661	Europe/Andorra	2012-01-18
3038874	Estanys de la Val del Riu	Estanys de la Val del Riu		42.60398	1.59622	H	LKS	AD		02				0		2467	Europe/Andorra	2014-11-05
3038875	Vaca Morta	Vaca Morta		42.5681	1.76256	L	LCTY	AD		02				0		1805	Europe/Andorra	2014-11-05
3038876	Riu d’Urina	Riu d'Urina		42.5594	1.58998	H	STM	AD		02				0		1575	Europe/Andorra	2014-12-03
3038877	Serrat de la Uïna	Serrat de la Uina		42.56667	1.51667	T	RDGE	AD		00				0		1514	Europe/Andorra	1993-12-23
3038878	Obaga de la Tuta	Obaga de la Tuta		42.48333	1.45	T	SLP	AD		00				0		1341	Europe/Andorra	1993-12-23
3038879	Cova de la Tuta	Cova de la Tuta		42.48333	1.45	S	CAVE	AD		00				0		1341	Europe/Andorra	1993-12-23
3038880	Roca del Tut	Roca del Tut		42.55	1.46667	T	RK	AD		00				0		1652	Europe/Andorra	1993-12-23
3038881	Coll de Turer	Coll de Turer		42.55784	1.46979	T	PASS	AD		04				0		1708	Europe/Andorra	2014-11-05
3038882	Font del Tudó	Font del Tudo		42.43333	1.53333	H	SPNG	AD		00				0		2126	Europe/Andorra	1993-12-23
3038883	Estany de les Truites	Estany de les Truites		42.57705	1.44801	H	LK	AD		04				0		2209	Europe/Andorra	2014-11-05
3038884	Serra de Tristaina	Serra de Tristaina	Serra de Tristaina	42.65048	1.47705	T	RDGE	AD	AD,FR	00				0		2560	Europe/Andorra	2014-11-05
3038885	Riu de Tristaina	Riu de Tristaina		42.615	1.53707	H	STM	AD		05				0		1793	Europe/Andorra	2014-11-05
3038886	Pic de Tristaina	Pic de Tristaina	Pic de Triatagne,Pic de Tristagne,Pic de Tristaina,Pic des Tri-Stagnes,Tristaina	42.65265	1.49242	T	PK	AD	AD,FR	00				0		2813	Europe/Andorra	2007-04-29
3038887	Clot de Tres Torrents	Clot de Tres Torrents		42.53333	1.53333	H	RVN	AD		00				0		1558	Europe/Andorra	1993-12-23
3038888	Bony de Tres Corts	Bony de Tres Corts		42.53333	1.53333	T	SPUR	AD		00				0		1558	Europe/Andorra	1993-12-23
3038889	Canal dels Trèmols	Canal dels Tremols		42.5	1.48333	H	STM	AD		00				0		1434	Europe/Andorra	1993-12-23
3038890	Travenc	Travenc		42.60215	1.69377	L	LCTY	AD		02				0		2147	Europe/Andorra	2014-12-03
3038891	Pleta de la Trava	Pleta de la Trava		42.48333	1.61667	L	GRAZ	AD		00				0		2058	Europe/Andorra	1993-12-23
3038892	Coll de la Trava	Coll de la Trava		42.48333	1.46667	T	SPUR	AD		00				0		1395	Europe/Andorra	1993-12-23
3038893	Canal de la Trava	Canal de la Trava		42.57395	1.52496	H	RVN	AD		05				0		1500	Europe/Andorra	2014-12-03
3038894	Bosc de la Trava	Bosc de la Trava		42.48333	1.63333	V	FRST	AD		00				0		2188	Europe/Andorra	1993-12-23
3038895	Font dels Traginers	Font dels Traginers		42.43333	1.51667	H	SPNG	AD		00				0		2002	Europe/Andorra	1993-12-23
3038896	Pla de les Toves	Pla de les Toves		42.46667	1.45	T	UPLD	AD		00				0		1681	Europe/Andorra	1993-12-23
3038897	Torrent del Tossalroi	Torrent del Tossalroi		42.46667	1.51667	H	STM	AD		00				0		1476	Europe/Andorra	1993-12-23
3038898	Tossal Gran	Tossal Gran		42.48333	1.48333	L	LCTY	AD		00				0		1279	Europe/Andorra	1993-12-23
3038899	Tossalet i Vinyals	Tossalet i Vinyals		42.48333	1.48333	L	LCTY	AD		00				0		1279	Europe/Andorra	1993-12-23
3038900	Bosc del Tossal de les Poselles	Bosc del Tossal de les Poselles		42.53333	1.5	V	FRST	AD		00				0		1558	Europe/Andorra	1993-12-23
3038901	Tossal	Tossal		42.46667	1.48333	L	LCTY	AD		00				0		1375	Europe/Andorra	1993-12-23
3038902	Tosquers	Tosquers		42.56587	1.48763	T	SLP	AD		04				0		1416	Europe/Andorra	2014-11-05
3038903	Canal del Tosquer	Canal del Tosquer		42.57114	1.52067	H	STM	AD		05				0		1500	Europe/Andorra	2014-12-03
3038904	Bosc del Tosquer	Bosc del Tosquer		42.57189	1.52369	V	FRST	AD		05				0		1500	Europe/Andorra	2014-12-03
